U.S. Product Supplied of Finished Motor Gasoline
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=mgfupus2&f=m
16:52:05 GMT+0100 (czas środkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Month,U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels per Day
Oct 2024,9068
Sep 2024,8994
Aug 2024,9258
Jul 2024,9297
Jun 2024,9120
May 2024,9396
Apr 2024,8831
Mar 2024,8887
Feb 2024,8601
Jan 2024,8238
Dec 2023,8796
Nov 2023,8910
Oct 2023,9100
Sep 2023,8843
Aug 2023,9244
Jul 2023,8979
Jun 2023,9366
May 2023,9080
Apr 2023,8944
Mar 2023,9077
Feb 2023,8695
Jan 2023,8291
Dec 2022,8596
Nov 2022,8827
Oct 2022,8807
Sep 2022,8847
Aug 2022,9115
Jul 2022,8812
Jun 2022,9075
May 2022,9119
Apr 2022,8799
Mar 2022,9005
Feb 2022,8650
Jan 2022,8062
Dec 2021,8879
Nov 2021,9021
Oct 2021,9027
Sep 2021,8932
Aug 2021,9182
Jul 2021,9297
Jun 2021,9362
May 2021,9081
Apr 2021,8839
Mar 2021,8553
Feb 2021,7824
Jan 2021,7723
Dec 2020,7855
Nov 2020,8001
Oct 2020,8316
Sep 2020,8541
Aug 2020,8524
Jul 2020,8460
Jun 2020,8292
May 2020,7198
Apr 2020,5866
Mar 2020,7779
Feb 2020,9050
Jan 2020,8724
Dec 2019,8971
Nov 2019,9209
Oct 2019,9308
Sep 2019,9198
Aug 2019,9834
Jul 2019,9533
Jun 2019,9703
May 2019,9497
Apr 2019,9411
Mar 2019,9184
Feb 2019,9072
Jan 2019,8778
Dec 2018,9179
Nov 2018,9290
Oct 2018,9294
Sep 2018,9153
Aug 2018,9778
Jul 2018,9640
Jun 2018,9797
May 2018,9515
Apr 2018,9206
Mar 2018,9465
Feb 2018,8796
Jan 2018,8788
Dec 2017,9247
Nov 2017,9110
Oct 2017,9357
Sep 2017,9378
Aug 2017,9752
Jul 2017,9595
Jun 2017,9772
May 2017,9550
Apr 2017,9295
Mar 2017,9325
Feb 2017,9008
Jan 2017,8507
Dec 2016,9283
Nov 2016,9233
Oct 2016,9093
Sep 2016,9484
Aug 2016,9687
Jul 2016,9578
Jun 2016,9608
May 2016,9417
Apr 2016,9176
Mar 2016,9373
Feb 2016,9221
Jan 2016,8653
Dec 2015,9148
Nov 2015,9112
Oct 2015,9245
Sep 2015,9289
Aug 2015,9460
Jul 2015,9470
Jun 2015,9417
May 2015,9262
Apr 2015,9189
Mar 2015,9057
Feb 2015,8829
Jan 2015,8639
Dec 2014,8941
Nov 2014,8921
Oct 2014,9148
Sep 2014,8822
Aug 2014,9311
Jul 2014,9249
Jun 2014,9039
May 2014,9023
Apr 2014,8955
Mar 2014,8697
Feb 2014,8647
Jan 2014,8273
Dec 2013,8670
Nov 2013,8923
Oct 2013,8944
Sep 2013,8946
